"id";"id_servico";"id_tipo_servico";"id_status";"quantidade";"valor";"valor_fornecedor";"excluido";"data_atualizacao"
"56580";"24158";"7";"2";"1";"0,00";"0,00";\N;\N
"56581";"24051";"21";\N;"1";"47,50";"17,50";\N;\N
"56582";"24159";"6";"2";"1";"95,00";"32,00";\N;\N
"56583";"24160";"6";"2";"1";"0,00";"0,00";\N;\N
"56584";"24161";"6";"2";"1";"95,00";"33,00";\N;\N
"56587";"24060";"22";\N;"1";"95,00";"35,00";\N;\N
"56588";"24164";"6";"2";"1";"0,00";"0,00";\N;\N
"56589";"24133";"6";"2";"1";"0,00";"0,00";\N;\N
"56590";"24165";"6";"2";"1";"95,00";"33,00";\N;\N
"56591";"24166";"6";"2";"1";"95,00";"32,00";\N;\N
"56594";"24132";"6";\N;"1";"95,00";"33,00";\N;\N
"56595";"24132";"7";\N;"1";"59,00";"15,00";\N;\N
"56596";"24167";"6";"2";"1";"95,00";"35,00";\N;\N
"56598";"24096";"9";\N;"1";"40,00";"0,00";\N;\N
"56599";"24096";"23";\N;"1";"350,00";"0,00";\N;\N
"56600";"24168";"6";"2";"1";"95,00";"29,00";\N;\N
"56601";"24169";"6";"2";"1";"95,00";"34,00";\N;\N
"56603";"24073";"6";\N;"1";"95,00";"29,00";\N;\N
"56604";"24171";"6";"2";"1";"95,00";"29,00";\N;\N
"56605";"24171";"10";"2";"1";"15,00";"15,00";\N;\N
