"id";"id_cliente";"id_tipo_servico";"valor";"valor_fornecedor"
"705";"676";"20";"30,00";\N
"706";"676";"21";"80,00";\N
"707";"676";"22";"160,00";\N
"1042";"486";"6";"95,00";\N
"1043";"486";"7";"99,00";\N
"1044";"486";"8";"99999,99";\N
"1045";"486";"9";"40,00";\N
"1046";"486";"10";"25,00";\N
"1047";"486";"11";"9999,99";\N
"1048";"486";"12";"150,00";\N
"1049";"486";"13";"250,00";\N
"1050";"486";"14";"250,00";\N
"1051";"486";"15";"450,00";\N
"1052";"486";"16";"250,00";\N
"1053";"486";"17";"200,00";\N
"1054";"486";"19";"95,00";\N
"1055";"486";"20";"30,00";\N
"1056";"486";"21";"42,50";\N
"1057";"486";"22";"95,00";\N
"1058";"604";"6";"95,00";\N
"1059";"604";"7";"99,00";\N
"1060";"604";"8";"99999,99";\N
"1061";"604";"9";"40,00";\N
"1062";"604";"10";"25,00";\N
"1063";"604";"11";"9999,99";\N
"1064";"604";"12";"150,00";\N
"1065";"604";"13";"250,00";\N
"1066";"604";"14";"250,00";\N
"1067";"604";"15";"450,00";\N
"1068";"604";"16";"250,00";\N
"1069";"604";"17";"200,00";\N
"1070";"604";"19";"95,00";\N
"1071";"604";"20";"30,00";\N
"1072";"604";"21";"42,50";\N
"1073";"604";"22";"95,00";\N
"1074";"631";"6";"95,00";\N
"1075";"631";"7";"99,00";\N
"1076";"631";"8";"99999,99";\N
"1077";"631";"9";"40,00";\N
"1078";"631";"10";"25,00";\N
"1079";"631";"11";"9999,99";\N
"1080";"631";"12";"150,00";\N
"1081";"631";"13";"250,00";\N
"1082";"631";"14";"250,00";\N
"1083";"631";"15";"450,00";\N
"1084";"631";"16";"250,00";\N
"1085";"631";"17";"200,00";\N
"1086";"631";"19";"95,00";\N
"1087";"631";"20";"30,00";\N
"1088";"631";"21";"42,50";\N
"1089";"631";"22";"95,00";\N
"1090";"702";"6";"95,00";\N
"1091";"702";"7";"99,00";\N
"1092";"702";"8";"99999,99";\N
"1093";"702";"9";"40,00";\N
"1094";"702";"10";"25,00";\N
"1095";"702";"11";"9999,99";\N
"1096";"702";"12";"150,00";\N
"1097";"702";"13";"250,00";\N
"1098";"702";"14";"250,00";\N
"1099";"702";"15";"450,00";\N
"1100";"702";"16";"250,00";\N
"1101";"702";"17";"200,00";\N
"1102";"702";"19";"95,00";\N
"1103";"702";"20";"30,00";\N
"1104";"702";"21";"42,50";\N
"1105";"702";"22";"95,00";\N
"1106";"717";"6";"95,00";\N
"1107";"717";"7";"99,00";\N
"1108";"717";"8";"99999,99";\N
"1109";"717";"9";"40,00";\N
"1110";"717";"10";"25,00";\N
"1111";"717";"11";"9999,99";\N
"1112";"717";"12";"150,00";\N
"1113";"717";"13";"250,00";\N
"1114";"717";"14";"250,00";\N
"1115";"717";"15";"450,00";\N
"1116";"717";"16";"250,00";\N
"1117";"717";"17";"200,00";\N
"1118";"717";"19";"95,00";\N
"1119";"717";"20";"30,00";\N
"1120";"717";"21";"42,50";\N
"1121";"717";"22";"95,00";\N
"1122";"748";"6";"95,00";\N
"1123";"748";"7";"99,00";\N
"1124";"748";"8";"99999,99";\N
"1125";"748";"9";"40,00";\N
"1126";"748";"10";"25,00";\N
"1127";"748";"11";"9999,99";\N
"1128";"748";"12";"150,00";\N
"1129";"748";"13";"250,00";\N
"1130";"748";"14";"250,00";\N
"1131";"748";"15";"450,00";\N
"1132";"748";"16";"250,00";\N
"1133";"748";"17";"200,00";\N
"1134";"748";"19";"95,00";\N
"1135";"748";"20";"30,00";\N
"1136";"748";"21";"42,50";\N
"1137";"748";"22";"95,00";\N
"1138";"749";"6";"95,00";\N
"1139";"749";"7";"99,00";\N
"1140";"749";"8";"99999,99";\N
"1141";"749";"9";"40,00";\N
"1142";"749";"10";"25,00";\N
"1143";"749";"11";"9999,99";\N
"1144";"749";"12";"150,00";\N
"1145";"749";"13";"250,00";\N
"1146";"749";"14";"250,00";\N
"1147";"749";"15";"450,00";\N
"1148";"749";"16";"250,00";\N
"1149";"749";"17";"200,00";\N
"1150";"749";"19";"95,00";\N
"1151";"749";"20";"30,00";\N
"1152";"749";"21";"42,50";\N
"1153";"749";"22";"95,00";\N
"1154";"750";"6";"95,00";\N
"1155";"750";"7";"99,00";\N
"1156";"750";"8";"99999,99";\N
"1157";"750";"9";"40,00";\N
"1158";"750";"10";"25,00";\N
"1159";"750";"11";"9999,99";\N
"1160";"750";"12";"150,00";\N
"1161";"750";"13";"250,00";\N
"1162";"750";"14";"250,00";\N
"1163";"750";"15";"450,00";\N
